created_at,entry_id,field1,field2
2018-12-18 11:26:02 UTC,1,25.3,68.8
2018-12-18 11:26:21 UTC,2,26.0,68.5
2018-12-18 11:26:40 UTC,3,26.0,68.5
2018-12-18 11:27:00 UTC,4,26.0,68.3
2018-12-18 11:27:19 UTC,5,26.0,68.3
2018-12-18 11:27:38 UTC,6,26.1,68.2
2018-12-18 11:27:57 UTC,7,26.1,68.1
2018-12-18 11:28:16 UTC,8,26.1,68.0
2018-12-18 11:28:35 UTC,9,26.2,68.1
2018-12-18 11:28:54 UTC,10,26.2,68.0
2018-12-18 11:29:13 UTC,11,26.2,67.6
2018-12-18 11:29:32 UTC,12,26.3,67.8
2018-12-18 11:29:51 UTC,13,26.3,67.5
2018-12-18 11:30:10 UTC,14,26.3,67.4
2018-12-18 11:30:29 UTC,15,26.3,67.2
2018-12-18 11:30:48 UTC,16,26.3,67.1
2018-12-18 11:31:07 UTC,17,26.3,66.8
2018-12-18 11:31:26 UTC,18,26.3,66.7
2018-12-18 11:31:46 UTC,19,26.3,66.7
2018-12-18 11:32:05 UTC,20,26.3,66.5
2018-12-18 11:32:24 UTC,21,26.3,66.7
2018-12-18 11:32:43 UTC,22,26.3,66.8
2018-12-18 11:33:02 UTC,23,26.3,66.9
2018-12-18 11:33:21 UTC,24,26.3,67.0
2018-12-18 11:33:40 UTC,25,26.3,66.8
2018-12-18 11:33:59 UTC,26,26.3,66.8
2018-12-18 11:34:18 UTC,27,26.3,66.8
2018-12-18 11:34:38 UTC,28,26.3,67.1
2018-12-18 11:34:57 UTC,29,26.3,67.0
2018-12-18 11:35:16 UTC,30,26.3,67.0
2018-12-18 11:35:35 UTC,31,26.3,67.0
2018-12-18 11:35:54 UTC,32,26.3,67.2
2018-12-18 11:36:13 UTC,33,26.3,67.9
2018-12-18 11:36:32 UTC,34,26.3,67.3
2018-12-18 11:36:51 UTC,35,26.3,67.0
2018-12-18 11:37:10 UTC,36,26.3,67.0
2018-12-18 11:37:29 UTC,37,26.3,66.9
2018-12-18 11:37:48 UTC,38,26.3,66.8
2018-12-18 11:38:07 UTC,39,26.3,67.8
2018-12-18 11:38:26 UTC,40,26.3,66.9
2018-12-18 11:38:45 UTC,41,26.4,66.8
2018-12-18 11:39:04 UTC,42,26.4,66.5
2018-12-18 11:39:23 UTC,43,26.4,66.5
2018-12-18 11:39:42 UTC,44,26.4,66.4
2018-12-18 11:40:02 UTC,45,26.4,66.2
2018-12-18 11:40:21 UTC,46,26.4,66.3
2018-12-18 11:40:40 UTC,47,26.4,66.3
2018-12-18 11:40:59 UTC,48,26.4,66.4
2018-12-18 11:41:18 UTC,49,26.4,66.1
2018-12-18 11:41:37 UTC,50,26.4,65.9
2018-12-18 11:41:56 UTC,51,26.4,66.0
2018-12-18 11:42:15 UTC,52,26.4,66.2
2018-12-18 11:42:34 UTC,53,26.4,67.3
2018-12-18 11:42:53 UTC,54,26.4,66.8
2018-12-18 11:43:12 UTC,55,26.4,66.5
2018-12-18 11:43:31 UTC,56,26.4,66.4
2018-12-18 11:43:50 UTC,57,26.4,66.4
2018-12-18 11:44:09 UTC,58,26.4,66.3
2018-12-18 11:44:28 UTC,59,26.4,66.3
2018-12-18 11:44:47 UTC,60,26.4,66.3
2018-12-18 11:45:06 UTC,61,26.4,66.2
2018-12-18 11:45:26 UTC,62,26.4,66.2
2018-12-18 11:45:45 UTC,63,26.4,66.2
2018-12-18 11:46:04 UTC,64,26.4,66.3
2018-12-18 11:46:23 UTC,65,26.4,66.2
2018-12-18 11:46:42 UTC,66,26.4,66.2
2018-12-18 11:47:01 UTC,67,26.4,66.3
2018-12-18 11:47:21 UTC,68,26.4,66.3
2018-12-18 11:47:40 UTC,69,26.4,66.2
2018-12-18 11:47:59 UTC,70,26.3,65.9
2018-12-18 11:48:18 UTC,71,26.4,65.9
2018-12-18 11:48:37 UTC,72,26.4,66.1
2018-12-18 11:48:56 UTC,73,26.4,66.0
2018-12-18 11:49:15 UTC,74,26.4,65.9
2018-12-18 11:49:34 UTC,75,26.4,65.9
2018-12-18 11:49:53 UTC,76,26.4,66.0
2018-12-18 11:50:12 UTC,77,26.4,65.9
2018-12-18 11:50:31 UTC,78,26.4,65.8
2018-12-18 11:50:50 UTC,79,26.4,65.8
2018-12-18 11:51:09 UTC,80,26.4,65.5
2018-12-18 11:51:28 UTC,81,26.4,65.5
2018-12-18 11:51:47 UTC,82,26.4,65.6
2018-12-18 11:52:07 UTC,83,26.4,65.4
2018-12-18 11:52:26 UTC,84,26.4,65.4
2018-12-18 11:52:45 UTC,85,26.5,65.5
2018-12-18 11:53:04 UTC,86,26.5,65.6
2018-12-18 11:53:23 UTC,87,26.5,65.3
2018-12-18 11:53:42 UTC,88,26.5,65.1
2018-12-18 11:54:01 UTC,89,26.5,65.2
2018-12-18 11:54:20 UTC,90,26.4,65.4
2018-12-18 11:54:40 UTC,91,26.4,65.1
2018-12-18 11:54:59 UTC,92,26.5,65.2
2018-12-18 11:55:18 UTC,93,26.4,65.1
2018-12-18 11:55:37 UTC,94,26.5,65.1
2018-12-18 11:55:56 UTC,95,26.4,65.1
2018-12-18 11:56:15 UTC,96,26.5,65.1
2018-12-18 11:56:34 UTC,97,26.5,65.1
2018-12-18 11:56:53 UTC,98,26.5,65.3
2018-12-18 11:57:12 UTC,99,26.5,65.2
2018-12-18 11:57:31 UTC,100,26.5,65.2
2018-12-18 11:57:50 UTC,101,26.5,65.5
2018-12-18 11:58:09 UTC,102,26.5,65.3
2018-12-18 11:58:28 UTC,103,26.5,65.2
2018-12-18 11:58:47 UTC,104,26.5,64.9
2018-12-18 11:59:06 UTC,105,26.5,65.0
